,channelId,channelTitle,playlistId,title,publishedAt,description,itemCount
148,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyW4PbOrv9nTaljZ6oXCgH0,Vacuna Sinopharm en el Perú,2021-02-08T04:14:02Z,,37
150,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZzalkc8-8oXFqqpL2AB8WA6,Avanzando Juntos,2021-02-02T16:13:51Z,,17
151,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZytUkCL5sRnbNft6qUG9HPt,Debate Online de RPP,2021-01-28T20:35:10Z,,10
152,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyc5F10pVmRLRALoNvBhSOW,ESPACIO VITAL,2021-01-26T19:03:18Z,Un programa dedicado a desarrollar temas de salud y brindar información basada en ciencia y evidencia. Con la conducción del Dr. Elmer Huerta.,917
153,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxCt0w-vRElNhEAEZKADbgX,PING PONG ELECTORAL,2021-01-21T22:25:59Z,,3
154,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxQzUTimAUjH7RWy2yPbOLC,HISTORIA DESTACADA - RPP,2021-01-16T01:22:11Z,,1
155,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxSrK4dqd20gtBPvfRAp1Ex,LOS MÁS VISTOS - RPP NOTICIAS,2021-01-11T21:38:31Z,,95
156,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwrr-KF_I8xtApbl3ByszB6,EN VIVO - RPP NOTICIAS,2021-01-11T12:31:23Z,La noticia que le interesa al Perú en el momento. Directo en directo.,801
160,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZwGiKUMj9nNkLvS5SwwvANr,EL PODER EN TUS MANOS,2020-08-17T17:34:05Z,,1388
161,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZy2ZNr-VcW84gg5mPUZ_2LM,ACTUALIDAD,2020-07-29T21:48:32Z,,464
162,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZxrrIf5tUyx-dqPby-OVxwd,INFORMES RPP,2020-06-26T18:52:53Z,,72
164,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyX2UBEUb3FwNTETmiEamXf,ECONOMÍA PERÚ,2020-05-20T14:28:06Z,La información más importante de los programas de RPP Noticias acerca de la economía peruana.,1690
165,UC5j8-2FT0ZMMBkmK72R4aeA,RPP Noticias,PLKB9XoDgSNZyv2td1WQfnntvUyRRf2QRa,Peruanos Camiseta,2020-05-19T15:26:01Z,,5
