"channel","publish_date","Program","title","views","comments","likes","dislikes"
"Willax Televisión",2021-02-16,"Milagros Leiva Entrevista ","1/4 | Willax",31349,269,573,0
"Willax Televisión",2021-02-16,"Milagros Leiva Entrevista ","PILAR MAZZETTI SE VACUNÓ EN SECRETO - FEB 15 - 2/4 | Willax",44800,391,709,0
"Willax Televisión",2021-02-16,"Beto a Saber ","OTRO ESCÁNDALO: LAVACUNA RUSA - FEB 15 - 3/4 | Willax",145463,1255,2588,0
"Willax Televisión",2021-02-17,"Milagros Leiva Entrevista ","LOS ENVARADOS Y SUS VACUNAS - FEB 16 - 1/4 | Willax",17914,84,327,0
"Willax Televisión",2021-02-17,"Milagros Leiva Entrevista","FEB 16- 2/4 | Willax",26320,144,459,0
"Willax Televisión",2021-02-18,"Milagros Leiva Entrevista ","UNA VACUNA POR UN WATÁN - FEB 17 - 1/4 | Willax",15661,53,310,0
"Willax Televisión",2021-02-18,"Milagros Leiva Entrevista ","VACUNA CHINA: ASÍ FUE LA REPARTIJA - FEB 17 - 3/4 | Willax",16747,99,341,0
"Willax Televisión",2021-02-18,"Beto a Saber ","NEGOCIADO DE LA VACUNA - FEB 17 - 1/4 | Willax",99052,822,2252,0
"Willax Televisión",2021-02-19,"Milagros Leiva Entrevista","MilagrosLeivaEntrevista-VIZCARRA Y MIRIAM MORALES HACEN DE LAS SUYAS EN SOMOS PERÚ-FEB 18-1/4|Willax",15484,83,332,0
"Willax Televisión",2021-02-19,"Milagros Leiva Entrevista","Milagros Leiva Entrevista- LLEGAR AL CONGRESO: EL ÚLTIMO SALVAVIDAS DE VIZCARRA-FEB 17 -2/4 | Willax",18311,84,412,0
"Willax Televisión",2021-02-24,"Beto a Saber ","DENUNCIA A MÁLAGA - FEB 23 - 3/4 | Willax",43949,113,752,0
"Willax Televisión",2021-02-24,"Beto a Saber ","""MÁLAGA NO TIENE ÉTICA NI VALORES NI PRINCIPIOS"" - FEB 23 - 4/4 | Willax",19864,98,594,0
"Willax Televisión",2021-02-25,"Beto a Saber "," LA VACUNA PERUANA- FEB 24 - 4/4 | Willax",34837,178,797,0
