video_id,channel_title,channel_id,video_publish_date,program,program_date,video_title,video_description,video_view_count,video_comment_count,video_like_count,video_dislike_count,video_tags
Qz3txRjg3WI,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-29,Milagros Leiva Entrevista,DIC 28,Milagros Leiva Entrevista-¿QUIÉNES SON LOS RESPONSABLES DE QUE NO TENGAMOS VACUNA? - 4/4|Willax,"Javier Bedoya Denegri, abogado da luces sobre la situación del país y el panorama que se avizora a las elecciones del 2021.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",3586,9,90,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
Yy7Rwf2twTg,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-29,Beto a Saber ,DIC 28,¿ESTAMOS YA ANTE LA SEGUNDA OLA? - 2/3 | Willax,"Ernesto Bustamante, científico y Alejandro Aguinaga, excongrsista, nos dan sus observaciones sobre la situación de país con respecto a la segunda ola de covid 19.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",40812,194,918,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
nALBHh5uIpQ,Willax Televisión,UCort3mldTtMErPqprSlSfng,2020-12-30,Combutters,DIC 29,"VIZCARRA SOBRE VACUNA: ""SE PAGÓ"" - 1/4 | Willax","Ante tanto cuestionamiento por qué nuestro país no tiene vacuna contra el Covid. Martín Vizcarra se volvió a defender. El expresidente aseguró que su gobierno si dio un adelanto de dinero al Fondo de Acceso Global para Vacunas Covid-19, Covax Facility.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",23262,172,567,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|vacuna|Vizcarra|pago|no se pago|culpable|Salaverry
_e8pgwTUVCA,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-05,Milagros Leiva Entrevista ,ENE 04,"PRESIDENTE SAGASTI,¿CUÁNDO LLEGARÁN LAS VACUNAS? - 1/4 | Willax","El expresidente Martín Vizcarra sigue insistiendo con su versión de por qué en el Perú no hay una vacuna. En tanto a eso ¿Qué hace el presidente Sagasti? Para comentar sobre ello viene el exministro de salud Luis Solari.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",9895,80,193,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
SB-WM1IPQ20,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-06,Milagros Leiva Entrevista,ENE05,"Milagros Leiva Entrevista-MAZZETTI: ""ENCONTRAR AL CULPABLE ES EL DEPORTE NACIONAL” - 1/4|Willax","La ministra Mazzetti sigue justificando el hecho que el Perú aún no hay comprado la vacuna anticovid.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",7826,77,160,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
ZaCdews-G1c,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-07,Milagros Leiva Entrevista ,ENE 06,LA PRIMERA BUENA NUEVA DEL 2021 - 1/4 | Willax,"El presidente Sagasti anunció que la compra de las vacunas de Sinopharm como las primeras que llegarían al país, con respecto a dicho tema Jaime Reusche es entrevista en este programa.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",8456,55,134,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
ROXuzoI_Tuo,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-07,Beto a Saber ,ENE 06,LA GRAN HAZAÑA DE SAGASTI - 1/3 | Willax,"Con la llegada de la segunda ola del Covid - 19, el presidente Sagasti anunció la compra de vacunas de Sinopharm. El expresidente Martín Vizcarra declaró que es gracias a su gestión que ahora se pudo comprar las vacunas. Así también una entrevistas con Daniel Abugattás.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",99112,804,1727,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
Ur9u-k-rvcM,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-09,Beto a Saber ,ENE 08,LLEGÓ EL VIRUS INGLÉS - 1/3 | Willax,"La ministra Pilar Mazzeti confirma el primer caso de la variante británica en el Perú, para comentar sobre el tema nos visita el doctor Tomás Borda y Ernesto Bustamante, científico.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",86458,507,1621,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
1t-d969W0Rg,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-12,Combutters,ENE 11,LA VACUNA QUE ESCOGEN LOS POLÍTICOS - 1/4 | Willax,"Los principales dignatarios y políticos del mundo empiezan a recibir las dosis de la vacuna contra la Covid-19. Y, al parecer, tienen preferencias por un laboratorio en específico: Pfizer - BioNTech, que producirá 2,000 millones de su vacuna para finales de este año y que tiene una eficacia del 95%.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido.",15450,58,368,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|vacuna|Vizcarra|pago|no se pago|culpable|Salaverry|covid|camas uci|uci|internados|mazzetti|segunda ola|congreso|huelga médica|Godofredo talavera
-OgtT4dlXxs,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-13,Beto a Saber ,ENE 12,VACUNA COVID-19 NO PODRÁ SER COMERCIALIZADA POR PRIVADOS  - 2/3 | Willax,"La ministra Mazzetti niega que la vacuna pueda ser distribuida por entidades privadas. También el analista político, Ángel Delgado nos comenta sobre el partido morado.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",31325,118,674,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
leZJSnMzDb8,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-13,Combutters,ENE 12,GOBIERNO ADMITE SEGUNDA OLA  - 1/4 | Willax,"La vacuna sigue siendo un drama para el país. Y es que, el ministro de Economía, Waldo Mendoza, dijo esta mañana que, todavía no se tiene la certeza de cuándo estará llegando el primer lote con el millón de dosis.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",17910,60,420,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|vacuna|Vizcarra|pago|no se pago|culpable|Salaverry|covid|camas uci|uci|internados|mazzetti|segunda ola|congreso|huelga médica|mazeti|pilar
j6DjTCszYoU,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-16,Combutters,ENE 15,VACUNACIÓN: PELIGROSA PROMESA  - 1/4 | Willax,"El gobierno hace una promesa. Así como lo oye, la vacuna ni siquiera llega al país, pero al parecer el Ejecutivo tiene un plan de vacunación el cual cubriría a toda la población. Pero, ¿Va de la mano con la realidad el anuncio de la premier, Violeta Bermudez? veamos cómo está el panorama en los países del mundo. 

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",19043,56,408,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video|phillip butters|combutters|periodismo|entrevista|política|magazzine|vacuna|Vizcarra|pago|no se pago|culpable|Salaverry|covid|camas uci|uci|internados|mazzetti|segunda ola|congreso|huelga médica|mazeti|pilar|conferencia|cantinflas|sagasti|violeta bermudez|vacunación
FBg2thXIW4M,Willax Televisión,UCort3mldTtMErPqprSlSfng,2021-01-19,Milagros Leiva Entrevista ,ENE 18,SOLO QUEDAN 125 CAMAS UCI EN TODO EL PAÍS  - 2/4 | Willax,"El Dr. Ernesto Bustamante, exjefe del INS, comenta sobre las declaraciones de la ministra de salud Pilar Mazzetti y la situación del sistema de salud nacional.

Por naturaleza y convicción, Willax Televisión es un medio de comunicación que promueve, alienta y defiende una prensa libre y democrática para el Perú. Transmite valores y cree que el periodismo puede ser un oficio responsable, independiente y entretenido. 
",5194,26,109,0,willax|willaxtv|televisión|tv|television|peru|perú|vivo|canal|movistar|claro|best|cable|bestcable|hd|digital|video
