CHANNEL ,Ch. Username,Channel ID,TITLE,URL,DATE
RPP Noticias,,,"Vacuna Sinopharm posee efectividad del 90%, según informe preliminar",https://www.youtube.com/watch?v=Cz0dWMBwQwc,4-May-21
RPP Noticias,@RPPNoticias,,Colegio Médico del Perú solicita tercera dosis de vacuna Sinopharm para personal médico,https://www.youtube.com/watch?v=qLgLbZy73gM,3-Jun-21
RPP Noticias,@RPPNoticias,,Vocero de Minsa: Efectividad de Sinopharm para prevenir muerte es de 90%,https://www.youtube.com/watch?v=g-znb99dKqc,15-Jul-21
RPP Noticias,@RPPNoticias,UC5j8-2FT0ZMMBkmK72R4aeA,Vacuna de Sinopharm: Colegio de Biólogos rechaza declaraciones del congresista Ernesto Bustamante,https://www.youtube.com/watch?v=zcFgzY8rsyU,4-Aug-21
RPP Noticias,,,Minsa brinda conferencia sobre eficacia de vacuna Sinopharm,https://www.youtube.com/watch?v=Z66i6jUmK0g,4-Aug-21
RPP Noticias,@RPPNoticias,,"Estudio de Sinopharm en el Perú: ""Es una vacuna que nos da seguridad""",https://www.youtube.com/watch?v=yTASknMQ8wY,6-Aug-21
TVPerú Noticias,@tvperunoticias,,Primeras 300 mil vacunas de Sinopharm ya están en el Perú,https://www.youtube.com/watch?v=fdoBS9dXIGI,7-Feb-21
TVPerú Noticias,,, PCM brinda precisiones sobre efectividad de la vacuna de Sinopharm,https://www.youtube.com/watch?v=e-080UzycHY,6-Mar-21
TVPerú Noticias,,,"Renuncia Coralith García, jefa de los ensayos clínicos de Sinopharm",https://www.youtube.com/watch?v=Q_nM_LJU2g4,26-Mar-21
TVPerú Noticias,@tvperunoticias,,Ministerio de Salud: efectividad de vacuna Sinopharm para prevenir muerte por COVID-19 es de 94%,https://www.youtube.com/watch?v=b7FsVusAGHY,4-Aug-21
TVPerú Noticias,@tvperunoticias,,COVID-19: Perú inicia ensayos clínicos de vacuna de laboratorio Sinopharm,https://www.youtube.com/watch?v=Otbblq0u_F0, 9/9/2020
Wayka,,,El fujimorista Ernesto Bustamante y la desinformación sobre la vacuna,https://www.youtube.com/watch?v=hrmYU8zj6xE,5-Aug-21
WillaxTV,,,Milagros Leiva Entrevista - JUL 19 - 2/3 - #NOTENEMOSMIEDO | Willax,https://www.youtube.com/watch?v=McRPpKQzx68,19-Jul-21
WillaxTV,,,En vivo __ | Conferencia de prensa en defensa de la libertad de expresión | Willax Tv,https://www.youtube.com/watch?v=FkQPm476Tr4,19-Jul-21
WillaxTV,,,"Combutters – ENE 23 – BETO ORTIZ: SI NO ME HUBIERA IDO A MÉXICO, ESTARÍA EN CANA | Willax",https://www.youtube.com/watch?v=LPThw6l7nhI,
WillaxTV,,,Combutters – DIC 13 - 2/2 EL VALOR DE BETO ORTIZ | Willax,https://www.youtube.com/watch?v=ZSfe0DfoUv8,
,,,Soy un sembrador de cizaña - Beto Ortiz Ep.98 La Linares,https://www.youtube.com/watch?v=JxzXfYNPlEo,
